???"TABLE_NAME","NUM_ROWS","LAST_ANALYZED"
"XBASE_MENU_PART","143","2021-06-09 22:01:25"
"XQUICK_MENU_SECTION","134","2021-11-18 22:02:08"
"FILTER_FORMAT_DETAIL","125","2019-07-11 17:18:52"
"LEMA_RULE_CONF_RES_ATTR_VAL","124","2019-07-11 17:19:02"
"COLOR_CODE_DTL","120","2019-07-11 17:18:33"
"E_ACT","119","2019-07-11 17:18:42"
"SIZE_CONVERSIONS","117","2021-01-16 6:00:15"
"XWORKSPACE","117","2024-11-01 22:03:32"
"MSG_TYPE","116","2019-07-11 17:19:09"
"E_PURGE_DTL","115","2019-07-11 17:18:49"
"UNIQUE_IDS","112","2019-07-11 17:19:40"
"E_JOB_FUNCTION","109","2019-07-11 17:18:47"
"PARAM_SUBGROUP","105","2019-07-11 17:19:15"
"LITERAL","103","2019-07-29 22:01:24"
"TASK_ACTION","103","2024-08-06 22:01:07"
"Z_WZ_CAR","101","2026-05-13 22:06:16"
"E_ACT_ELM","99","2019-07-11 17:18:43"
"MHE_RULE_GROUP","90","2019-09-24 22:00:57"
"WM_MHE_MSG_FORMAT_HDR","89","2019-08-21 22:00:56"
"PUTWY_METHOD_PRTY","87","2024-08-07 22:02:58"
"INTERFACE_CONFIG","85","2019-08-08 22:00:48"
"AI_MASTER","85","2019-07-11 17:18:27"
"Z_WZ_LOCNTMP","84","2023-06-28 22:03:05"
"PIX_REF_CODE_MASTER","84","2019-09-19 22:01:03"
"CL_EVENT_MASTER","81","2019-08-21 22:00:55"
"CONFIG_TOOL_PREF_DISABLED_STEP","80","2019-07-11 17:18:33"
"CONFIG_TOOL_DEPENDENT_STEPS","79","2019-07-11 17:18:33"
"CONFIG_TOOL_PREF_QUESTION","78","2019-07-11 17:18:33"
"PARAM_GROUPING","77","2019-07-11 17:19:15"
"CUSTOM_DISPLAY_FIELD_PERMIS","76","2019-07-11 17:18:35"
"XMENU_ITEM_PARAMETER","76","2019-07-11 17:19:46"
"LISTENER_STATUS_DETAIL","75","2026-05-16 6:00:17"
"PICK_LOCN_ASSIGN_PRTY","72","2026-05-08 22:01:01"
"INVN_NEED_TYPE","69","2026-05-15 22:03:15"
"INT_MASTER","68","2024-08-06 22:06:08"
"XQUICK_MENU","67","2021-11-18 22:02:08"
"PROFILE_ACCESS","62","2019-07-11 17:19:20"
"TXN_MASTER","62","2019-07-11 17:19:39"
"ATTRIBUTE_DETAIL","59","2019-07-11 17:18:29"
"ALLOC_PARM","59","2024-08-06 22:00:58"
"SOA_FILTER_MODULE_XREF","59","2019-07-11 17:19:30"
"INVN_ALLOC_PRTY","59","2021-12-10 22:04:01"
"SO_ORDER_CCLFIELD","57","2019-07-11 17:19:32"
"INT_PATH_DEFN","57","2024-08-07 22:07:57"
"XFILTER","56","2026-03-30 22:04:53"
"E_SIMULATION_TABLES","56","2019-07-11 17:18:51"
"VAL_TAG_TYPE_XREF","55","2019-07-11 17:19:41"
"PROC_LOCK","55","2026-05-15 22:00:14"
"TASK_GRP_ELGBLTY","54","2024-08-06 22:00:58"
"XFILTER_PREF","54","2026-03-30 22:01:13"
"DB_BUILD_HISTORY","54","2021-11-17 22:05:42"
"E_PROC_LOCK_HDR","53","2019-07-11 17:18:49"
"SR_LAYOUT_DTL_FN","52","2019-07-11 17:19:33"
"WORKFLOW_COMPONENT_PERM","50","2019-07-11 17:19:44"
"QUEUE_TYPE_LOOKUP","49","2019-07-11 17:19:21"
"XBASE_MENU_SECTION","49","2026-01-15 22:07:11"
"CUSTOM_DISPLAY","49","2019-07-11 17:18:34"
"PARAM_GROUP","48","2019-07-11 17:19:15"
"SOA_MODULE","46","2019-07-11 17:19:30"
"SR_LAYOUT_DTL","46","2019-07-11 17:19:33"
"AI_TRAN_CONFIG","45","2019-07-11 17:18:27"
"DSP_DR_TYPE","43","2019-07-11 17:18:38"
"HIERARCHY_NODES","43","2019-07-11 17:18:54"
"LEMA_RULE_TEMPLATE","43","2019-07-11 17:19:02"
"RESTRICTION_ATTRIBUTES","40","2019-07-11 17:19:23"
"WZ_USERLIST","40","2024-12-24 22:05:10"
"SO_DB_BUILD_HISTORY","39","2019-07-11 17:19:32"
"IMPORT_EXCLUSIONS_CBO","38","2025-02-14 22:00:47"
"FEDEX_ACC_OPT_DYNSURGE_MAP","38","2019-07-11 17:18:52"
"BROKEN_CONSTRAINTS","37","2021-11-17 22:05:42"
"MESSAGE_TYPE","36","2019-07-11 17:19:08"
"DSP_DR_PARAMETER","36","2019-07-11 17:18:38"
"WORK_AREA_MASTER","34","2026-03-11 22:05:30"
"VAL_TAG","33","2019-07-11 17:19:41"
"PO_CRITICAL_FIELD_FV","33","2019-07-11 17:19:19"
"MANH_DATABASE_OBJECT_LIST","32","2019-07-11 17:19:05"
"LPN_FACILITY_STATUS","32","2019-07-11 17:19:04"
"SYSTEM_CODE","32","2019-07-11 17:19:34"
"PURCHASE_ORDERS_STATUS","32","2019-07-11 17:19:21"
"PURCHASE_ORDERS_LINE_STATUS","31","2019-07-11 17:19:21"
"DATA_SOURCE","31","2019-07-11 17:18:35"
"SIZE_DESC","31","2020-08-21 22:01:34"
"LRF_EVENT","30","2026-05-15 22:00:59"
