"   ","TABLE_NAME","CONSTRAINT_NAME","CONSTRAINT_TYPE","COLUMN_NAME","POSITION"
"2758","VAL_JOB_DTL","PK_VAL_JOB_DTL","P","VAL_JOB_DTL_ID","1"
"2759","VAL_JOB_HDR","PK_VAL_JOB_HDR","P","VAL_JOB_HDR_ID","1"
"2760","VAL_JOB_HDR","UK_VAL_JOB_HDR","U","JOB_NAME","1"
"2761","VAL_JOB_SEQ","PK_VAL_JOB_SEQ","P","APP_HOOK","1"
"2762","VAL_JOB_SEQ","PK_VAL_JOB_SEQ","P","PGM_ID","2"
"2763","VAL_JOB_SEQ","PK_VAL_JOB_SEQ","P","SEQ_NBR","3"
"2764","VAL_JOB_TAGS","PK_VAL_JOB_TAGS","P","TYPE","1"
"2765","VAL_JOB_TAGS","PK_VAL_JOB_TAGS","P","TAG","2"
"2766","VAL_JOB_TAGS","PK_VAL_JOB_TAGS","P","VAL_JOB_HDR_ID","3"
"2767","VAL_PARSED_SELECT_LIST","PK_VPSL","P","SQL_ID","1"
"2768","VAL_PARSED_SELECT_LIST","PK_VPSL","P","POS","2"
"2769","VAL_RESULT_HIST","PK_VAL_RESULT_HIST","P","TXN_ID","1"
"2770","VAL_RESULT_HIST","PK_VAL_RESULT_HIST","P","VAL_JOB_DTL_ID","2"
"2771","VAL_RUNTIME_BINDS","PK_VAL_RUNTIME_BINDS","P","TXN_ID","1"
"2772","VAL_RUNTIME_BINDS","PK_VAL_RUNTIME_BINDS","P","VAL_JOB_DTL_ID","2"
"2773","VAL_RUNTIME_BINDS","PK_VAL_RUNTIME_BINDS","P","BIND_VAR","3"
"2774","VAL_SQL","PK_VAL_SQL","P","SQL_ID","1"
"2775","VAL_SQL","UK_VAL_SQL","U","IDENT","1"
"2776","VAL_SQL_BINDS","PK_VAL_SQL_BINDS","P","VAL_JOB_DTL_ID","1"
"2777","VAL_SQL_BINDS","PK_VAL_SQL_BINDS","P","BIND_VAR","2"
"2778","VAL_SQL_TAGS","PK_VAL_SQL_TAGS","P","TYPE","1"
"2779","VAL_SQL_TAGS","PK_VAL_SQL_TAGS","P","TAG","2"
"2780","VAL_SQL_TAGS","PK_VAL_SQL_TAGS","P","SQL_ID","3"
"2781","VAL_TAG","PK_VAL_TAG","P","TAG","1"
"2782","VAL_TAG_TYPE","PK_VAL_TAG_TYPE","P","TYPE","1"
"2783","VAL_TAG_TYPE_XREF","PK_VAL_TAG_TYPE_XREF","P","TYPE","1"
"2784","VAL_TAG_TYPE_XREF","PK_VAL_TAG_TYPE_XREF","P","TAG","2"
"2785","VAS_CARTON","PK_VAS_CARTON","P","VAS_CARTON_ID","1"
"2786","VAS_CARTON","UK_VAS_CARTON","U","CARTON_NBR","1"
"2787","VAS_CARTON","UK_VAS_CARTON","U","CARTON_SEQ_NBR","2"
"2788","VAS_CARTON","UK_VAS_CARTON","U","GRP_TYPE","3"
"2789","VAS_PATH_DTL","PK_VAS_PATH_DTL","P","VAS_PATH_DTL_ID","1"
"2790","VAS_PATH_DTL","UK_VAS_PATH_DTL","U","VAS_PATH","1"
"2791","VAS_PATH_DTL","UK_VAS_PATH_DTL","U","VAS_PATH_SEQ","2"
"2792","VAS_PATH_HDR","PK_VAS_PATH_HDR","P","VAS_PATH_HDR_ID","1"
"2793","VAS_PATH_HDR","UK_VAS_PATH_HDR","U","VAS_PATH","1"
"2794","VAS_PKT","PK_VAS_PKT","P","VAS_PKT_ID","1"
"2795","VAS_PKT","UK_VAS_PKT","U","PKT_CTRL_NBR","1"
"2796","VAS_PKT","UK_VAS_PKT","U","PKT_SEQ_NBR","2"
"2797","VAS_PKT","UK_VAS_PKT","U","GRP_TYPE","3"
"2798","VCP_COMPANY_PARAMETER","VCPCOMPPARAM_PK","P","PARAM_DEF_ID","1"
"2799","VCP_COMPANY_PARAMETER","VCPCOMPPARAM_PK","P","BUSINESS_PARTNER_ID","2"
"2800","VCP_COMPANY_PARAMETER","VCPCOMPPARAM_PK","P","TC_COMPANY_ID","3"
"2801","VENDOR_MASTER","PK_VENDOR_MASTER","P","VENDOR_MASTER_ID","1"
"2802","VENDOR_MASTER","VENDOR_ID_UDX","U","CD_MASTER_ID","1"
"2803","VENDOR_MASTER","VENDOR_ID_UDX","U","VENDOR_ID","2"
"2804","VEND_PERF_CODE","PK_VEND_PERF_CODE","P","VEND_PERF_CODE_ID","1"
"2805","VEND_PERF_CODE","UK_VEND_PERF_CODE","U","PERF_CODE","1"
"2806","VEND_PERF_QUAL_RSLT","PK_VEND_PERF_QUAL_RSLT","P","SHPMT_NBR","1"
"2807","VEND_PERF_QUAL_RSLT","PK_VEND_PERF_QUAL_RSLT","P","VENDOR_MASTER_ID","2"
"2808","VEND_PERF_QUAL_RSLT","PK_VEND_PERF_QUAL_RSLT","P","PAGE_SEQ_NBR","3"
"2809","VEND_PERF_TRAN","PK_VEND_PERF_TRAN","P","VEND_PERF_TRAN_ID","1"
"2810","VEND_QUAL_AUDIT_LVL","PK_VEND_QUAL_AUDIT_LVL","P","VEND_QUAL_AUDIT_LVL_ID","1"
"2811","VEND_QUAL_AUDIT_LVL","UK_VEND_QUAL_AUDIT_LVL","U","CD_MASTER_ID","1"
"2812","VEND_QUAL_AUDIT_LVL","UK_VEND_QUAL_AUDIT_LVL","U","INSPECT_GRP","2"
"2813","VOCOLLECT_ACTIVE_CARTON","PK_VOCOLLECT_ACTIVE_CARTON","P","VOCOLLECT_ACTIVE_CARTON_ID","1"
"2814","VOCOLLECT_ACTIVE_CARTON","UK_VOCOLLECT_ACTIVE_CARTON","U","VOCOLLECT_ASSIGN_ID","1"
"2815","VOCOLLECT_ACTIVE_CARTON","UK_VOCOLLECT_ACTIVE_CARTON","U","WORK_ID","2"
"2816","VOCOLLECT_ACTIVE_CARTON","UK_VOCOLLECT_ACTIVE_CARTON","U","ACTIVE_CARTON","3"
"2817","VOCOLLECT_PARM","PK_VOCOLLECT_PARM","P","VOCOLLECT_PARM_ID","1"
"2818","VOCOLLECT_PARM","UK_VOCOLLECT_PARM","U","WHSE","1"
"2819","VOCOLLECT_USER_LOGIN","PK_VOCOLLECT_USER_LOGIN","P","VOCOLLECT_USER_LOGIN_ID","1"
"2820","VOCOLLECT_USER_LOGIN","UK_VOCOLLECT_USER_LOGIN","U","LOGIN_USER_ID","1"
"2821","VOCOLLECT_WORK_TYPE","PK_VOCOLLECT_WORK_TYPE","P","VOCOLLECT_WORK_TYPE_ID","1"
"2822","VOCOLLECT_WORK_TYPE","UK_VOCOLLECT_WORK_TYPE","U","WHSE","1"
"2823","VOCOLLECT_WORK_TYPE","UK_VOCOLLECT_WORK_TYPE","U","VOCOLLECT_WORK_TYPE","2"
"2824","VOCOLLECT_WORK_TYPE","UK_VOCOLLECT_WORK_TYPE","U","TASK_GRP","3"
"2825","WAVE","WAVE_PK","P","WAVE_ID","1"
