???"TABLE_NAME","INDEX_NAME","UNIQUENESS","COLUMN_NAME","COLUMN_POSITION"
"AP_ALERT_DEF_USER_GROUP_MAP","AP_ALERT_USR_PK","UNIQUE","ALERT_DEF_ID","1"
"AP_ALERT_DEF_USER_GROUP_MAP","AP_ALERT_USR_PK","UNIQUE","USER_GROUP","2"
"AP_ALERT_ESCALATION_DETAILS","APALERTED_PK","UNIQUE","ALERT_ACTIVITY_ID","1"
"AP_ALERT_ESCALATION_DETAILS","APALERTED_PK","UNIQUE","ALERT_ID","2"
"AP_ALERT_ESCALATION_DETAILS","APALERTED_PK","UNIQUE","ALERT_ESCALATION_ID","3"
"AP_ALERT_ESCALATION_DETAILS","APALERTED_PK","UNIQUE","USER_ID","4"
"AP_ALERT_ESCALATION_DETAILS","APALRTESCDTLS_ALER","NONUNIQUE","ALERT_ID","1"
"AP_ALERT_OBJECTS","AP_ALERT_OBJ_PK","UNIQUE","ALERT_ID","1"
"AP_ALERT_OBJECTS","AP_ALERT_OBJ_PK","UNIQUE","OBJECT_ID","2"
"AP_ALERT_OBJECTS","AP_ALERT_OBJ_PK","UNIQUE","OBJECT_TYPE","3"
"AP_SYSTEM_ALERT_DEF","APSYSALERTDEF_PK","UNIQUE","SYSTEM_ALERT_DEF_ID","1"
"AP_SYSTEM_ALERT_DEF","AP_SYSTEM_ALERT_DEF_PK_2","UNIQUE","ALERT_DEF_NAME","1"
"AP_SYSTEM_ALERT_DEF","ASAD_NAMEDESC_IDX","NONUNIQUE","ALERT_DEF_NAME","1"
"AP_SYSTEM_ALERT_DEF","ASAD_NAMEDESC_IDX","NONUNIQUE","DESCRIPTION","2"
"AR_ACCT","PK_AR_ACCT","UNIQUE","AR_ACCT_ID","1"
"AR_ACCT","UK_AR_ACCT","UNIQUE","ACCT_RCVBL_ACCT_NBR","1"
"AR_ACCT","UK_AR_ACCT","UNIQUE","FACILITY_ID","2"
"AR_ACCT","UK_AR_ACCT","UNIQUE","TC_COMPANY_ID","3"
"AR_ACCT_DTL","PK_AR_ACCT_DTL","UNIQUE","AR_ACCT_DTL_ID","1"
"AR_ACCT_DTL","TM_AR_ACCT_DTL_IDX1","NONUNIQUE","ACCT_RCVBL_ACCT_NBR","1"
"AR_ACCT_DTL","TM_AR_ACCT_DTL_IDX1","NONUNIQUE","FACILITY_ID","2"
"AR_ACCT_DTL","TM_AR_ACCT_DTL_IDX1","NONUNIQUE","TC_COMPANY_ID","3"
"AR_ACCT_DTL","TM_AR_ACCT_DTL_IDX2","NONUNIQUE","AR_ACCT_ID","1"
"AR_ACCT_DTL","UK_AR_ACCT_DTL","UNIQUE","ACCT_RCVBL_ACCT_NBR","1"
"AR_ACCT_DTL","UK_AR_ACCT_DTL","UNIQUE","FACILITY_ID","2"
"AR_ACCT_DTL","UK_AR_ACCT_DTL","UNIQUE","TC_COMPANY_ID","3"
"AR_ACCT_DTL","UK_AR_ACCT_DTL","UNIQUE","RRN_SEND_DAY","4"
"ASN","ASN_DFID_IDX","NONUNIQUE","DESTINATION_FACILITY_ID","1"
"ASN","ASN_OFID_IDX","NONUNIQUE","ORIGIN_FACILITY_ID","1"
