???"FROM_TABLE","FROM_COLUMN","TO_TABLE","TO_COLUMN","CONSTRAINT_NAME"
"CUSTOM_PANEL","PARENT_CUSTOM_PANEL_ID","CUSTOM_PANEL","CUSTOM_PANEL_ID","PARENT_CUSTM_PANEL_FK"
"CUSTOM_PANEL","CUSTOM_FRAGMENT_ID","CUSTOM_FRAGMENT","CUSTOM_FRAGMENT_ID","PARENT_FRAGMENT_FK"
"CUSTOM_PANEL","CUSTOM_PAGE_ID","CUSTOM_PAGE","CUSTOM_PAGE_ID","PARENT_PANEL_PAGE_FK"
"CUSTOM_STYLE_VIEW","STYLE_VIEW_TYPE_ID","CUSTOMIZE_VIEW_TYPE","CUSTOMIZE_VIEW_TYPE_ID","CST_STLVW_VWTP_FK"
"CUSTOM_VIEW_UIATTR","CUSTOMIZE_VIEW_TYPE_ID","CUSTOMIZE_VIEW_TYPE","CUSTOMIZE_VIEW_TYPE_ID","CUST_VW_UIATTR_FK2"
"CUSTOM_VIEW_UIATTR","OBJECT_TYPE_ID","OBJECT_TYPE_TABLE","OBJECT_TYPE_ID","CUST_VW_UIATTR_FK1"
"CYCLE_COUNT_TRIG","TASK_PARM_ID","TASK_PARM","TASK_PARM_ID","FK_CCTRIG_TASKPARM"
"DATASOURCE_SOA","ID","DATASOURCE","ID","FK_DSOA_DATASOURCE"
"DATASOURCE_SQL","ID","DATASOURCE","ID","FK_DSQL_DATASOURCE"
"DATASOURCE_SQL","DATASOURCE_SQL_CONNECTION_ID","DATASOURCE_SQL_CONNECTION","ID","FK_DSQL_DSSC"
"DATA_LOADER_LISTENER","LISTENER_ID","LISTENER","LISTENER_ID","DATA_LOADER_LISTENER_FK"
"DB_LISTENER","LISTENER_ID","LISTENER","LISTENER_ID","DB_LISTENER_FK"
"DISTRIB_LIST_MEMBER","DL_ID","DISTRIBUTION_LIST","DL_ID","DISTRIB_LM_FK"
"DISTRIB_LIST_MEMBER_DL","MEMBER_DL_ID","DISTRIBUTION_LIST","DL_ID","DISTRIB_LMDL_FK2"
"DISTRIB_LIST_MEMBER_DL","PARENT_DL_ID","DISTRIBUTION_LIST","DL_ID","DISTRIB_LMDL_FK"
"DOCK_DOOR_AVAIL_DATE","WHSE","DOCK_DOOR_MASTER","WHSE","FK_DOCKDOORAVAILDATE_DDMAS"
"DOCK_DOOR_AVAIL_DATE","DOCK_DOOR_MASTER_ID","DOCK_DOOR_MASTER","DOCK_DOOR_MASTER_ID","FK_DOCKDOORAVAILDATE_DDMAS2"
"DOCK_DOOR_AVAIL_DATE","DOCK","DOCK_DOOR_MASTER","DOCK","FK_DOCKDOORAVAILDATE_DDMAS"
"DOCK_DOOR_AVAIL_DATE","DOOR","DOCK_DOOR_MASTER","DOOR","FK_DOCKDOORAVAILDATE_DDMAS"
"DOCK_DOOR_AVAIL_DAY","DOCK_DOOR_MASTER_ID","DOCK_DOOR_MASTER","DOCK_DOOR_MASTER_ID","FK_DOCKDOORAVAILDAY_DDMAS2"
"DOCK_DOOR_AVAIL_DAY","WHSE","DOCK_DOOR_MASTER","WHSE","FK_DOCKDOORAVAILDAY_DDMAS"
"DOCK_DOOR_AVAIL_DAY","DOCK","DOCK_DOOR_MASTER","DOCK","FK_DOCKDOORAVAILDAY_DDMAS"
"DOCK_DOOR_AVAIL_DAY","DOOR","DOCK_DOOR_MASTER","DOOR","FK_DOCKDOORAVAILDAY_DDMAS"
"DOCK_DOOR_AVAIL_SCHED","DOCK_DOOR_MASTER_ID","DOCK_DOOR_MASTER","DOCK_DOOR_MASTER_ID","FK_DOCKDOORAVAILSCHD_DDMAS2"
"DOCK_DOOR_AVAIL_SCHED","WHSE","DOCK_DOOR_MASTER","WHSE","FK_DOCKDOORAVAILSCHD_DDMAS"
"DOCK_DOOR_AVAIL_SCHED","DOCK","DOCK_DOOR_MASTER","DOCK","FK_DOCKDOORAVAILSCHD_DDMAS"
"DOCK_DOOR_AVAIL_SCHED","DOOR","DOCK_DOOR_MASTER","DOOR","FK_DOCKDOORAVAILSCHD_DDMAS"
"DOCK_DOOR_REF","APPOINTMENT_ID","ILM_APPOINTMENTS","APPOINTMENT_ID","DOCK_DOOR_REF_APPOINTMENT_FK"
"DOCK_DOOR_REF","ASN_ID","ASN","ASN_ID","DOCK_DOOR_REF_ASN_FK"
